OriginalAddress,ChosenAddress,Url,Owner,AveragePricingInfo,ActiveListingsUrl,PastSalesUrl,PastRentalUrl,UnitsAvaliableRightNow
301 E 60TH ST Manhattan,,http://streeteasy.com/building/1140-2-avenue-manhattan,Owned by: FORWARD REALTY CORP.,"Rentals Listings 1 active rental ($3,100 avg price)",,/nyc/property_activity/past_transactions_component/857050?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/857050?hide_header=true&show_rentals=true,2
309 E 60TH ST Manhattan,,http://streeteasy.com/building/309-east-60-street-manhattan,Owned by: HILLYER KAZUKO,"3 previous rentals ($2,616 avg price)",,/nyc/property_activity/past_transactions_component/857053?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/857053?hide_header=true&show_rentals=true,0
311 E 60TH ST Manhattan,,http://streeteasy.com/building/311-east-60-street-new_york,Owned by: 311313 LLC,"Rentals Listings 1 active rental ($1,950 avg price)",,/nyc/property_activity/past_transactions_component/857054?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/857054?hide_header=true&show_rentals=true,2
313 E 60TH ST Manhattan,,http://streeteasy.com/building/313-east-60-street-new_york,Owned by: 311313 LLC,"5 previous rentals ($47 per ft² avg, $1,920 avg price)",,/nyc/property_activity/past_transactions_component/857055?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/857055?hide_header=true&show_rentals=true,0
345 E 60TH ST Manhattan,,http://streeteasy.com/building/345-east-60-street-manhattan,"Owned by: FIRST SIGMA CAPITAL,I",,,/nyc/property_activity/past_transactions_component/857059?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/857059?hide_header=true&show_rentals=true,0
347 E 60TH ST Manhattan,,http://streeteasy.com/building/347-east-60-street-manhattan,"Owned by: FIRST SIGMA CAPITAL,I",,,/nyc/property_activity/past_transactions_component/857060?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/857060?hide_header=true&show_rentals=true,0
349 E 60TH ST Manhattan,,http://streeteasy.com/building/349-east-60-street-manhattan,"Owned by: FIRST SIGMA CAPITAL,I",,,/nyc/property_activity/past_transactions_component/857061?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/857061?hide_header=true&show_rentals=true,0
35 E 60TH ST Manhattan,,http://streeteasy.com/building/35-east-60-street-manhattan,Owned by: 33-39 EAST 60TH STREE,,,/nyc/property_activity/past_transactions_component/851701?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/851701?hide_header=true&show_rentals=true,0
36 E 60TH ST Manhattan,,http://streeteasy.com/building/36-east-60-street-manhattan,Owned by: FORTUSA REALTY CORP,,,/nyc/property_activity/past_transactions_component/1086576?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/1086576?hide_header=true&show_rentals=true,0
37 E 60TH ST Manhattan,,http://streeteasy.com/building/37-east-60-street-manhattan,Owned by: 33-39 EAST 60TH STRE,,,/nyc/property_activity/past_transactions_component/1562662?hide_header=true&show_sales=true,/nyc/property_activity/past_transactions_component/1562662?hide_header=true&show_rentals=true,0
