OriginalAddress,ChosenAddress,Url,Owner,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl,Price,AvaliableUnitDetails,AvaliableUnitUrl
300 E 34TH ST,300 East 34th Street,http://streeteasy.com/building/300-east-34-street-new_york,Owned by: HKAL 34TH STREET LIMI,3995,"#25E - 300 East 34th Street
$3,995   NO FEE 1.2 beds 1 bath 950 ft²",http://streeteasy.com/building/300-east-34-street-new_york/25e,3895,"#5E - 300 East 34th Street
$3,895   NO FEE 1 bed 1 bath 825 ft²",http://streeteasy.com/building/300-east-34-street-new_york/5e,3650,"#22H - 300 East 34th Street
$3,650   NO FEE 1 bed 1 bath 725 ft²",http://streeteasy.com/building/300-east-34-street-new_york/22h,3250,"#34K - 300 East 34th Street
$3,250   NO FEE 2 rooms, studio 1 bath",http://streeteasy.com/building/300-east-34-street-new_york/34k
316 E 34TH ST,,http://streeteasy.com/building/316-east-34-street-manhattan,"Owned by: L. WAY TRANSACTION,LL",2050,"#2B - 316 East 34th Street
$2,050   2 rooms, studio 1 bath",http://streeteasy.com/building/316-east-34-street-manhattan/2b,0,,,0,,,0,,
318 E 34TH ST,318 East 34th Street,http://streeteasy.com/building/318-east-34-street-new_york,"Owned by: EAST 34TH STREET, LLC",2150,"#5C - 318 E. 34th Street
$2,150   4 rooms, 1 bed 1 bath 451 ft²",http://streeteasy.com/building/318-east-34-street-new_york/5c,0,,,0,,,0,,
320 E 34TH ST,320 East 34th Street,http://streeteasy.com/building/320-east-34-street-new_york,"Owned by: EAST 34TH STREET, LLC",4200,"#6C - 320 E. 34th Street
$4,200   3 beds 1 bath 783 ft²",http://streeteasy.com/building/320-east-34-street-new_york/6c,2150,"#2C - 320 E. 34th Street
$2,150   3 rooms, 1 bed 1 bath",http://streeteasy.com/building/320-east-34-street-new_york/2c,2000,"#3B - 320 E. 34th Street
$2,000   3 rooms, 1 bed 1 bath 375 ft²",http://streeteasy.com/building/320-east-34-street-new_york/3b,1900,"#4A - 320 E. 34th Street
$1,900   3 rooms, 1 bed 1 bath 371 ft²",http://streeteasy.com/building/320-east-34-street-new_york/4a
322 E 34TH ST,322 East 34th Street,http://streeteasy.com/building/322-east-34-street-manhattan,"Owned by: 322 EAST 34TH ST., LL",0,,,0,,,0,,,0,,
324 E 34TH ST,324 East 34th Street,http://streeteasy.com/building/324-east-34-street-manhattan,Owned by: N-WAY TRANSACTION LLC,2195,"#E1 - 324 East 34th Street
$2,195   3 rooms, 1 bed 1 bath",http://streeteasy.com/building/324-east-34-street-manhattan/e1,0,,,0,,,0,,
326 E 34TH ST,326 East 34th Street,http://streeteasy.com/building/326-east-34-street-new_york,Owned by: N-WAY TRANSACTION LLC,0,,,0,,,0,,,0,,
327 E 34TH ST,327 East 34th Street,http://streeteasy.com/building/327-east-34-street-new_york,Owned by: MALEX LLC,2995,"#3C - 327 East 34th Street
$2,995   NO FEE 1 bed 1 bath",http://streeteasy.com/building/327-east-34-street-new_york/3c,0,,,0,,,0,,
328 E 34TH ST,328 East 34th Street,http://streeteasy.com/building/328-east-34-street-new_york,Owned by: N-WAY TRANSACTION LLC,0,,,0,,,0,,,0,,
348 E 34TH ST,,http://streeteasy.com/building/348-east-134-street-bronx,Owned by: MACK REALTY DEVELOPME,0,,,0,,,0,,,0,,
